2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.19, Ref: $8.96, Gap: -8.59%, Volume: 1,760
2025-10-07 00:20:55 | INFO | bot.backtest.engine | Progress: 165000 bars processed, 152 trades, equity=$98526.89
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.15, Ref: $8.96, Gap: -9.04%, Volume: 1,033
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $7.82, Ref: $8.96, Gap: -12.72%, Volume: 39,179
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] ENTRY (SHORT): Gap -11.89% @ $7.89 (Ref: $8.96, Vol: 53,339)
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] EXIT (short): Max hold time (60.0min) @ $7.86
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.14, Ref: $8.96, Gap: -9.15%, Volume: 1,126
2025-10-07 00:20:55 | INFO | bot.backtest.engine | Progress: 166000 bars processed, 153 trades, equity=$98650.02
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.46, Ref: $8.96, Gap: -5.52%, Volume: 1,376
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.45, Ref: $8.96, Gap: -5.75%, Volume: 1,691
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.29, Ref: $8.96, Gap: -7.48%, Volume: 5,115
2025-10-07 00:20:55 | INFO | bot.backtest.engine | Progress: 167000 bars processed, 153 trades, equity=$98650.02
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.29, Ref: $8.96, Gap: -7.48%, Volume: 4,146
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.21, Ref: $8.96, Gap: -8.37%, Volume: 2,516
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.19, Ref: $8.96, Gap: -8.59%, Volume: 10,659
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.19, Ref: $8.96, Gap: -8.59%, Volume: 2,506
2025-10-07 00:20:55 | INFO | bot.backtest.engine | Progress: 168000 bars processed, 153 trades, equity=$98650.02
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.76, Ref: $8.96, Gap: -2.23%, Volume: 8,861
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $9.07, Ref: $8.96, Gap: 1.28%, Volume: 4,632
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $9.03, Ref: $8.96, Gap: 0.78%, Volume: 1,260
2025-10-07 00:20:55 | INFO | bot.backtest.engine | Progress: 169000 bars processed, 153 trades, equity=$98650.02
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.96, Ref: $8.96, Gap: 0.00%, Volume: 441
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $9.09, Ref: $8.96, Gap: 1.45%, Volume: 3,252
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] Market open - Price: $8.08, Ref: $8.96, Gap: -9.82%, Volume: 18,769
2025-10-07 00:20:55 | INFO | bot.strategy.gap_and_go | [SOFI] ENTRY (SHORT): Gap -12.39% @ $7.85 (Ref: $8.96, Vol: 57,792)
